20251607_NameThisGame_UNI_DDQN,NameThisGameNoFrameskip-v4,UNI,DDQN,1,0
20251607_Qbert_R_UNI_ReaDQN,QbertNoFrameskip-v4,DR_UNI_a10,RDQN,1,0
20251607_Qbert_UNI_DDQN,QbertNoFrameskip-v4,UNI,DDQN,1,0
20251607_Frostbite_R_UNI_ReaDQN,FrostbiteNoFrameskip-v4,DR_UNI_a10,RDQN,1,0
20251607_Frostbite_UNI_DDQN,FrostbiteNoFrameskip-v4,UNI,DDQN,1,0
20251607_Riverraid_R_UNI_ReaDQN,RiverraidNoFrameskip-v4,DR_UNI_a10,RDQN,1,0
20251607_Riverraid_UNI_DDQN,RiverraidNoFrameskip-v4,UNI,DDQN,1,0
20251607_DoubleDunk_R_UNI_ReaDQN,DoubleDunkNoFrameskip-v4,DR_UNI_a10,RDQN,1,0
20251607_DoubleDunk_UNI_DDQN,DoubleDunkNoFrameskip-v4,UNI,DDQN,1,0
20251607_Bowling_R_UNI_ReaDQN,BowlingNoFrameskip-v4,DR_UNI_a10,RDQN,1,0
20251607_Bowling_UNI_DDQN,BowlingNoFrameskip-v4,UNI,DDQN,1,0
20251607_KungFuMaster_R_UNI_ReaDQN,KungFuMasterNoFrameskip-v4,DR_UNI_a10,RDQN,1,0
20251607_KungFuMasteR_UNI_DDQN,KungFuMasterNoFrameskip-v4,UNI,DDQN,1,0
20251607_BattleZone_R_UNI_ReaDQN,BattleZoneNoFrameskip-v4,DR_UNI_a10,RDQN,1,0
20251607_BattleZone_UNI_DDQN,BattleZoneNoFrameskip-v4,UNI,DDQN,1,0
20251607_Phoenix_R_UNI_ReaDQN,PhoenixNoFrameskip-v4,DR_UNI_a10,RDQN,1,0
20251607_Phoenix_UNI_DDQN,PhoenixNoFrameskip-v4,UNI,DDQN,1,0
20251607_Amidar_R_UNI_ReaDQN,AmidarNoFrameskip-v4,DR_UNI_a10,RDQN,1,0
20251607_AmidaR_UNI_DDQN,AmidarNoFrameskip-v4,UNI,DDQN,1,0

----------------------------------------

20250403_NameThisGame_TPER_DDQN,NameThisGameNoFrameskip-v4,TPER2,DDQN,1
20250403_Qbert_TPER_DDQN,QbertNoFrameskip-v4,TPER2,DDQN,1
20250403_Frostbite_TPER_DDQN,FrostbiteNoFrameskip-v4,TPER2,DDQN,1
20250403_Riverraid_TPER_DDQN,RiverraidNoFrameskip-v4,TPER2,DDQN,1
20250403_DoubleDunk_TPER_DDQN,DoubleDunkNoFrameskip-v4,TPER2,DDQN,1
20250403_Bowling_TPER_DDQN,BowlingNoFrameskip-v4,TPER2,DDQN,1
20250403_KungFuMaster_TPER_DDQN,KungFuMasterNoFrameskip-v4,TPER2,DDQN,1
20250403_BattleZone_TPER_DDQN,BattleZoneNoFrameskip-v4,TPER2,DDQN,1
20250403_Phoenix_TPER_DDQN,PhoenixNoFrameskip-v4,TPER2,DDQN,1
20250403_Amidar_TPER_DDQN,AmidarNoFrameskip-v4,TPER2,DDQN,1

20250403_NameThisGame_PER_DDQN,NameThisGameNoFrameskip-v4,PER,DDQN,1
20250403_NameThisGame_TPER_DDQN,NameThisGameNoFrameskip-v4,TPER2,DDQN,1
20250403_Riverraid_PER_DDQN,RiverraidNoFrameskip-v4,PER,DDQN,1
20250403_Riverraid_TPER_DDQN,RiverraidNoFrameskip-v4,TPER2,DDQN,1
20250403_DoubleDunk_PER_DDQN,DoubleDunkNoFrameskip-v4,PER,DDQN,1
20250403_DoubleDunk_TPER_DDQN,DoubleDunkNoFrameskip-v4,TPER2,DDQN,1
20250403_Qbert_PER_DDQN,QbertNoFrameskip-v4,PER,DDQN,1
20250403_Qbert_TPER_DDQN,QbertNoFrameskip-v4,TPER2,DDQN,1
20250403_Bowling_PER_DDQN,BowlingNoFrameskip-v4,PER,DDQN,1
20250403_Bowling_TPER_DDQN,BowlingNoFrameskip-v4,TPER2,DDQN,1
20250403_Frostbite_PER_DDQN,FrostbiteNoFrameskip-v4,PER,DDQN,1
20250403_Frostbite_TPER_DDQN,FrostbiteNoFrameskip-v4,TPER2,DDQN,1
20250403_KungFuMaster_PER_DDQN,KungFuMasterNoFrameskip-v4,PER,DDQN,1
20250403_KungFuMaster_TPER_DDQN,KungFuMasterNoFrameskip-v4,TPER2,DDQN,1
20250403_BattleZone_PER_DDQN,BattleZoneNoFrameskip-v4,PER,DDQN,1 
20250403_BattleZone_TPER_DDQN,BattleZoneNoFrameskip-v4,TPER2,DDQN,1
20250403_Phoenix_PER_DDQN,PhoenixNoFrameskip-v4,PER,DDQN,1
20250403_Phoenix_TPER_DDQN,PhoenixNoFrameskip-v4,TPER2,DDQN,1
20250403_Amidar_PER_DDQN,AmidarNoFrameskip-v4,PER,DDQN,1
20250403_Amidar_TPER_DDQN,AmidarNoFrameskip-v4,TPER2,DDQN,1

20250516_NameThisGame_ReaPER_a3_DDQN,NameThisGameNoFrameskip-v4,ReaPER_a6a3,DDQN,1
20250516_Qbert_ReaPER_a3_DDQN,QbertNoFrameskip-v4,ReaPER_a6a3,DDQN,1
20250516_BattleZone_ReaPER_a3_DDQN,BattleZoneNoFrameskip-v4,ReaPER_a6a3,DDQN,1
20250516_Phoenix_ReaPER_a3_DDQN,PhoenixNoFrameskip-v4,ReaPER_a3,DDQN,1
20250516_DoubleDunk_ReaPER_a3_LRdiv2_DDQN,DoubleDunkNoFrameskip-v4,ReaPER_a3,DDQN,1

20250609_NameThisGame_ReaPER_a4a2_RR_DDQN,NameThisGameNoFrameskip-v4,ReaPER_a4a2_RR,DDQN,1,3
20250609_Qbert_ReaPER_a4a2_RR_DDQN,QbertNoFrameskip-v4,ReaPER_a4a2_RR,DDQN,1,0
20250609_BattleZone_ReaPER_a4a2_RR_DDQN,BattleZoneNoFrameskip-v4,ReaPER_a4a2_RR,DDQN,1,0
20250609_Phoenix_ReaPER_a4a2_RR_DDQN,PhoenixNoFrameskip-v4,ReaPER_a4a2_RR,DDQN,1,0
20250609_DoubleDunk_ReaPER_a4a2_RR_DDQN,DoubleDunkNoFrameskip-v4,ReaPER_a4a2_RR,DDQN,1,0



# ---------------------------------------------------------------------------------- #
#                                      RUNNING                                       #
# ---------------------------------------------------------------------------------- #

20250213_T1_ChopperCommand_TPER,ChopTPER2CommandNoFrameskip-v4,TPER2,1
20250213_T1_Defender_TPER,DefenderNoFrameskip-v4,TPER2,1
20250213_T1_DemonAttack_PER,DemonAttackNoFrameskip-v4,PER,1
20250213_T1_DemonAttack_TPER,DemonAttackNoFrameskip-v4,TPER2,1
20250213_T1_Enduro_PER,EnduroNoFrameskip-v4,PER,1
20250213_T1_Enduro_TPER,EnduroNoFrameskip-v4,TPER2,1
20250213_T1_FishingDerby_PER,FishingDerbyNoFrameskip-v4,PER,1
20250213_T1_FishingDerby_TPER,FishingDerbyNoFrameskip-v4,TPER2,1
20250213_T1_Gopher_PER,GopherNoFrameskip-v4,PER,1
20250213_T1_Gopher_TPER,GopherNoFrameskip-v4,TPER2,1
20250213_T1_Gravitar_PER,GravitarNoFrameskip-v4,PER,1
20250213_T1_Gravitar_TPER,GravitarNoFrameskip-v4,TPER2,1
20250213_T1_Hero_PER,HeroNoFrameskip-v4,PER,1
20250213_T1_Hero_TPER,HeroNoFrameskip-v4,TPER2,1
20250213_T1_IceHockey_PER,IceHockeyNoFrameskip-v4,PER,1
20250213_T1_IceHockey_TPER,IceHockeyNoFrameskip-v4,TPER2,1
20250213_T1_Jamesbond_PER,JamesbondNoFrameskip-v4,PER,1
20250213_T1_Jamesbond_TPER,JamesbondNoFrameskip-v4,TPER2,1
20250213_T1_JourneyEscape_PER,JourneyEscapeNoFrameskip-v4,PER,1
20250213_T1_JourneyEscape_TPER,JourneyEscapeNoFrameskip-v4,TPER2,1
20250213_T1_Kangaroo_PER,KangarooNoFrameskip-v4,PER,1
20250213_T1_Kangaroo_TPER,KangarooNoFrameskip-v4,TPER2,1
20250213_T1_Krull_PER,KrullNoFrameskip-v4,PER,1
20250213_T1_Krull_TPER,KrullNoFrameskip-v4,TPER2,1
20250213_T1_MontezumaRevenge_PER,MontezumaRevengeNoFrameskip-v4,PER,1
20250213_T1_MontezumaRevenge_TPER,MontezumaRevengeNoFrameskip-v4,TPER2,1

# ---------------------------------------------------------------------------------- #
#                                        DONE                                        #
# ---------------------------------------------------------------------------------- #

20250213_T1_ChopperCommand_PER,ChopperCommandNoFrameskip-v4,PER,1
20250213_T1_Centipede_PER,CentipedeNoFrameskip-v4,PER,1
20250213_T1_Centipede_TPER,CentipedeNoFrameskip-v4,TPER2,1
20250213_T1_Defender_PER,DefenderNoFrameskip-v4,PER,1
20250213_T1_Berzerk_PER,BerzerkNoFrameskip-v4,PER,1
20250213_T1_Berzerk_TPER,BerzerkNoFrameskip-v4,TPER2,1
20250213_T1_CrazyClimber_PER,CrazyClimberNoFrameskip-v4,PER,1
20250213_T1_CrazyClimber_TPER,CrazyClimberNoFrameskip-v4,TPER2,1
Alien
Alien
20250213_T1_Breakout_PER,BreakoutNoFrameskip-v4,PER,1
20250213_T1_Breakout_TPER,BreakoutNoFrameskip-v4,TPER2,1
Pong
Pong
Freeway
Freeway
Boxing
Boxing
Atlantis
Atlantis
20250214_T1_BattleZone_PER,BattleZoneNoFrameskip-v4,PER,1 
20250214_T1_BattleZone_TPER,BattleZoneNoFrameskip-v4,TPER2,1
20250214_T1_DoubleDunk_PER,DoubleDunkNoFrameskip-v4,PER,1
20250214_T1_DoubleDunk_TPER,DoubleDunkNoFrameskip-v4,TPER2,1
20250214_T1_NameThisGame_PER,NameThisGameNoFrameskip-v4,PER,1
20250214_T1_NameThisGame_TPER,NameThisGameNoFrameskip-v4,TPER2,1
20250214_T1_Phoenix_PER,PhoenixNoFrameskip-v4,PER,1
20250214_T1_Phoenix_TPER,PhoenixNoFrameskip-v4,TPER2,1
20250214_T1_Qbert_PER,QbertNoFrameskip-v4,PER,1
20250214_T1_Qbert_TPER,QbertNoFrameskip-v4,TPER2,1
20250214_T1_Amidar_PER,AmidarNoFrameskip-v4,PER,1
20250214_T1_Amidar_TPER,AmidarNoFrameskip-v4,TPER2,1
20250214_T1_Bowling_PER,BowlingNoFrameskip-v4,PER,1
20250214_T1_Bowling_TPER,BowlingNoFrameskip-v4,TPER2,1
20250214_T1_Frostbite_PER,FrostbiteNoFrameskip-v4,PER,1
20250214_T1_Frostbite_TPER,FrostbiteNoFrameskip-v4,TPER2,1
20250214_T1_KungFuMaster_PER,KungFuMasterNoFrameskip-v4,PER,1
20250214_T1_KungFuMaster_TPER,KungFuMasterNoFrameskip-v4,TPER2,1
20250214_T1_Riverraid_PER,RiverraidNoFrameskip-v4,PER,1
20250214_T1_Riverraid_TPER,RiverraidNoFrameskip-v4,TPER2,1
20250213_T1_UpNDown_PER,UpNDownNoFrameskip-v4,PER,1
20250213_T1_UpNDown_TPER,UpNDownNoFrameskip-v4,TPER2,1
20250213_T1_VideoPinball_PER,VideoPinballNoFrameskip-v4,PER,1
20250213_T1_VideoPinball_TPER,VideoPinballNoFrameskip-v4,TPER2,1
20250213_T1_Zaxxon_PER,ZaxxonNoFrameskip-v4,PER,1
20250213_T1_Zaxxon_TPER,ZaxxonNoFrameskip-v4,TPER2,1
20250213_T1_Tennis_PER,TennisNoFrameskip-v4,PER,1
20250213_T1_Tennis_TPER,TennisNoFrameskip-v4,TPER2,1
20250213_T1_TimePilot_PER,TimePilotNoFrameskip-v4,PER,1
20250213_T1_TimePilot_TPER,TimePilotNoFrameskip-v4,TPER2,1
20250213_T1_Tutankham_PER,TutankhamNoFrameskip-v4,PER,1
20250213_T1_Tutankham_TPER,TutankhamNoFrameskip-v4,TPER2,1
20250213_T1_Skiing_PER,SkiingNoFrameskip-v4,PER,1
20250213_T1_Skiing_TPER,SkiingNoFrameskip-v4,TPER2,1
20250213_T1_Solaris_PER,SolarisNoFrameskip-v4,PER,1
20250213_T1_Solaris_TPER,SolarisNoFrameskip-v4,TPER2,1
20250213_T1_StarGunner_PER,StarGunnerNoFrameskip-v4,PER,1
20250213_T1_StarGunner_TPER,StarGunnerNoFrameskip-v4,TPER2,1
20250213_T1_BankHeist_PER,BankHeistNoFrameskip-v4,PER,1
20250213_T1_BankHeist_TPER,BankHeistNoFrameskip-v4,TPER2,1
20250213_T1_BeamRider_PER,BeamRiderNoFrameskip-v4,PER,1
